text,aspect,sentiment
"I have eaten at Saul , many times , the food is always consistently , outrageously good .",food,positive
"We were on our way back to NJ , and since I am in NY , we figured why not grab some food ?",food,neutral
"To celebrate a birthday , three of us went to Mare anticipating great food .",food,neutral
The food was authentic .,food,positive
"I must say it ""s"" a little pricey for the food because it was not as spectacular as the view .",food,negative
No gimmicks here -- the food speaks for itself in its freshness and preparation .,food,positive
One should not go to Lucky Strike for the food .,food,negative
The food there are sastifying .,food,positive
The food was good .,food,positive
"The food is decent at best , and the ambience , well , it ""s"" a matter of opinion , some may consider it to be a sweet thing , I thought it was just annoying .",food,neutral
The food is above average for midtown and sligtly better than some of the other Heartland Breweries in the city .,food,positive
The food was absolutely horrible !,food,negative
"What I did ""nt"" like was how the food came right after it was ordered .",food,negative
"Most importantly , food is excellent .",food,positive
"The food was just OK , I would never go back .",food,neutral
"My fiance took me to Scopa last week for my birthday and I could ""nt"" believe the food .",food,positive
"The place was ""nt"" too hard to find , but it was kind of packed , as soon as my boyfriend and I got our food , the line reached the door .",food,neutral
I am happy i did the food was awsome .,food,positive
My wife and I ate here earlier this week and have not stopped ranting and raving about the food .,food,positive
"If you are someone who appreciates the same things but hope to have food to spare or share , Kai may not be the best option .",food,neutral
"The food however , is what one might expect .",food,neutral
"I ""ve"" waited over one hour for food .",food,neutral
The food was exceptional .,food,positive
"I would recommend Roxy ""s"" for that , but not for their food .",food,negative
"I have been there many times , and food is good and consistent .",food,positive
"The food here is rather good , but only if you like to wait for it .",food,positive
The food is inventive but still keeps traditional indian flavoring .,food,positive
The food is authentic Italian - delicious !,food,positive
"It ""s"" all about the food !!",food,positive
The food is delicious .,food,positive
The food was boring and expensive .,food,negative
"Also , specify if you like your food spicy - its rather bland if you do ""nt"" .",food,neutral
"It can be a little confusing as to where one goes to order , but once the food is ordered , you are in for a treat .",food,positive
It was so bad I actually refused to pay for my food .,food,negative
Of course the reason its so packed is because the food is so delicious !,food,positive
I am not sure if I would call the food here Indian as it is a fusion of what seems to be French with an Indian or exotic touch .,food,neutral
The food was actually aweful .,food,negative
And the food was fantastic .,food,positive
"$ 6 and there is much tasty food , all of it fresh and continually refilled .",food,positive
"Just straight up cheap , good food .",food,positive
"I ""m"" happy to have Nosh in the neighborhood and the food is very comforting .",food,positive
love the food .,food,positive
"Good food at the restaurant -LRB- a bit expensive , but great if you want to impress your date -RRB- .",food,positive
I have eaten there 3-4 times and the food was always good .,food,positive
"The food is definitely good , but I left a bit disappointed .",food,positive
"The food is good , I ca ""nt"" lie .",food,positive
"great food , lt ""s"" of it , more then one person can eat !",food,positive
The food was very well prepared .,food,positive
"The food arrived 20 minutes after I called , cold and soggy .",food,negative
They treated us well and the food was extremely fresh and well-prepared .,food,positive
"No you ""re"" going to go back because the food was good .",food,positive
I definitely enjoyed the food as well .,food,positive
"This made it obvious that the food was ""nt"" cooked fresh ; it was obviously made before hand and then reheated .",food,negative
"However , being foodies , we were utterly disappointed with the food .",food,negative
The food was almost always EXCELLENT .,food,positive
The food was wonderful and imaginative .,food,positive
"Yes , they ""re"" a bit more expensive then typical , but then again , so is their food .",food,positive
but the food was delicious .,food,positive
"The food is wonderful , artfully done and simply delicious .",food,positive
the food is delicious and highly recommended .,food,positive
"Since I cook for a living , I ""m"" very fussy about the food I eat in restaurants .",food,neutral
"The food here was great , a treat from beginning to end .",food,positive
And the food is fantastic .,food,positive
"I thought the food is ""nt"" cheap at all compared to Chinatown .",food,negative
Even for two very hungry people there is plenty of food left to be taken home -LRB- it reheats really well also -RRB- .,food,positive
"It ""s"" just good food , nothing more and that ""s"" all we want !",food,positive
This is literally a hot spot when it comes to the food .,food,positive
Simple healthy unglamorous food cheap .,food,positive
The food -- though mostly deep-fried -- is simple and satisfying .,food,positive
"Glechik might be way too tiny for a restaurant by Russian standards , but it is cozy and the food is simply GREAT .",food,positive
"Not because I was pregnant , but the food here is always delicious .",food,positive
"Great restaurant , and even greater food !",food,positive
The food was good overall .,food,positive
"I did ""nt"" go there for food so I ca ""nt"" comment .",food,neutral
The food is consistant and good but how it got name Best Diner In Manhattan is beyond me .,food,positive
"Although the restaurant itself is nice , I prefer not to go for the food .",food,negative
"The Bagels have an outstanding taste with a terrific texture , both chewy yet not gummy .",Bagels,positive
"Outstanding Bagels , but you get what you pay for .",Bagels,positive
"Bagels are ok , but be sure not to make any special requests !",Bagels,neutral
"i ""ve"" noticed megadeth , mr. scruff , st. germain , traditional vietnamese songs , black sabbath , jay-z , and daft punk all being played .",songs,neutral
He has visited Thailand and is quite expert on the cuisine .,cuisine,positive
"The cuisine from what I ""ve"" gathered is authentic Taiwanese , though its very different from what I ""ve"" been accustomed to in Taipei .",cuisine,neutral
Should you happen to be impressed by the cuisine definitely try it .,cuisine,positive
"I ""ve"" eaten thai many times , and am very familiar with the cuisine .",cuisine,neutral
"If you ""re"" not familiar with the cuisine , you may encounter problems ordering here and be sure to bring plenty of cash with you as they do ""nt"" accept credit cards .",cuisine,negative
The seats are uncomfortable if you are sitting against the wall on wooden benches .,seats,negative
"As there were so many to choose from we wandered up and down the street looking in the windows and such noticicing many empty seats , except at Taj Mahal .",seats,negative
It gets crowded at lunchtime but there are lots of seats in back and everyone who works there is so nice .,seats,positive
"I asked for seltzer with lime , no ice .",seltzer with lime,neutral
"Faan ""s"" got a great concept but a little rough on the delivery .",delivery,negative
"My co-workers had to wait almost an hour for delivery , only to discover that what they got was not what they ordered .",delivery,negative
Two words : Free wine .,wine,positive
"overall , a solid restaurant and at less than $ 40pp -LRB- including wine -RRB- , a solid deal as well .",wine,neutral
Did I mention the wine ?,wine,neutral
"The quantity is also very good , you will come out satisfied .",quantity,positive
The fried rice is amazing here .,fried rice,positive
The fried rice is really good too .,fried rice,positive
"it ""s"" a perfect place to have a amanzing indian food .",indian food,positive
"At the end you ""re"" left with a mild broth with noodles that you can slurp out of a cup .",broth with noodles,positive
The wine list is excellent .,wine list,positive
The wine list is interesting and has many good values .,wine list,positive
The wine list is extensive and impressive .,wine list,positive
The wine list is also really nice .,wine list,positive
"Ive been to many Thai restaurants in Manhattan before , and Toons is by far the best Thai food Ive had -LRB- except for my mom ""s"" of course -RRB- .",Thai food,positive
"I am not the most experienced person when it comes to Thai food , but my friend who took me there is .",Thai food,neutral
"For many people , this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic .",Thai food,negative
"In an area sadly lacking in decent Thai food , this is one of the best spots .",Thai food,positive
The Thai food is good .,Thai food,positive
"For authentic Thai food , look no further than Toons .",Thai food,positive
They wouldnt even let me finish my glass of wine before offering another .,glass of wine,neutral
As always we had a great glass of wine while we waited .,glass of wine,positive
We ordered a glass of wine and were finished eating and paying before the wine came .,glass of wine,neutral
"Whem asked , we had to ask more detailed questions so that we knew what the specials were .",specials,neutral
"Be sure to try the seasonal , and always delicious , specials .",specials,positive
"But they ""ve"" done a really nice job of offering all the typical pizzeria faves plus some terrific specials like the Godmother pizza -LRB- a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual -RRB- .",specials,positive
The specials are usually quite good too .,specials,positive
"When we notified him that he did ""nt"" mention the specials , he did ""nt"" apologize but let us know that we made a very good decision regardless .",specials,neutral
Try the lasagnette appetizer .,lasagnette appetizer,positive
I liked the beer selection !,beer selection,positive
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds .,Dosa,neutral
A must for all the Dosa lovers .,Dosa,positive
"With the great variety on the menu , I eat here often and never get bored .",menu,positive
"You order from a menu , so you leave feeling like you missed the full experience .",menu,negative
One of the earlier people commenting on the restaurant did not get the that some experimenting is going on with the menu in a positive way .,menu,positive
"Try ordering from the regular menu , then you would not regret !",menu,positive
The menu is nothing like the one on the website .,menu,negative
"We ""ve"" been to Grocery three times and not once has an item on the menu disappointed .",menu,positive
"Spice is sleek , modern and cool with a menu that will not hurt your wallet .",menu,positive
We visited Orsay during NY Restaurant Week and tried their $ 35 menu .,menu,neutral
"So , the menu is written in chalk above your head and it all sounds delicious .",menu,neutral
"The menu may be small , but everything on it is delicious .",menu,negative
They have a very diverse menu so its something for everybody .,menu,positive
"menu - uneventful , small .",menu,negative
"Everytime I go there I ca ""nt"" pick anything to eat and not because the menu is filled with great things to eat .",menu,negative
"The menu , which changes seasonally , shows both regional and international influences .",menu,neutral
You will not be dissapointed by any of the choices in the menu .,menu,positive
"Give it a try , menu is typical French but varied .",menu,neutral
"Between my guest and I , we sampled at least 80 % of the menu , and they were all hits .",menu,positive
"I ""m"" looking forward to going back soon and eventually trying most everything on the menu !",menu,positive
"I just had my first visit to this place and ca ""nt"" wait to go back and slowly work my way through the menu .",menu,neutral
Not too crazy about their sake martini .,sake martini,negative
Their sake martini is wonderful .,sake martini,positive
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests .,table,neutral
The last time I went we were seated at a table in a corridor next to the kitchen .,table,negative
What came to our table was burned beyond recognition and stringy .,table,neutral
The restaurant is rather small but we were lucky to get a table quickly .,table,positive
"Told us to sit anywhere , and when we sat he said the table was reserved .",table,negative
"It ""s"" easy to get a table for a large group and you do ""nt"" get hustled out .",table,positive
"Also , if you do ""nt"" want to sit at a certain table , you do ""nt"" have to !",table,positive
"I went here with a friend on a whim , we went someplace else first and could ""nt"" get a table .",table,negative
"If the weather is nice , try to snag an outside table .",table,positive
"It only took about five or so minutes to get an empty table , but standing up was ""nt"" too bad .",table,positive
"I would never wait for a table to eat , it just is not THAT great .",table,neutral
We were told that they were booked solid and no other table was available .,table,negative
We always have a delicious meal and always leave feeling satisfied .,meal,positive
"If you ""d"" like to have a nice light meal with an asian accent , Long Tan is a good place on the slope .",meal,positive
"It ""s"" simply the best meal in NYC .",meal,positive
"We wo ""nt"" go to this place again for a good meal .",meal,negative
I have to say I have never had a disapointing meal here .,meal,positive
The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,meal,positive
We had a wonderful meal at Naples 45 a month ago on a visit to NYC .,meal,positive
What an amazing meal and experience !,meal,positive
I recommend this place to everyone who asks me where to go for a good meal .,meal,positive
"I took my girlfriend there for her birthday last night and we had a relaxing , really good meal .",meal,positive
I have been about 4 times and have always had a great meal .,meal,positive
He was terribly thirsty after the meal too .,meal,negative
Way too much money for such a terrible meal .,meal,negative
So for a filling and healthy meal give it a go .,meal,positive
We came across this restaurant by accident while at a DUMBO art festival and thoroughly enjoyed our meal .,meal,positive
perfect for a quick meal .,meal,positive
Had a great meal there this weekend before heading to the movies !,meal,positive
"If you ""re"" in the neighborhood , definitely stop by for a great meal .",meal,positive
First went here to enjoy their garden terrace .,garden terrace,positive
The pizza was pretty good and huge .,pizza,positive
The pizza here is delicious .,pizza,positive
The pizza is good though .,pizza,positive
I love the fact that the pizza tastes so good and is so cheap .,pizza,positive
brick oven gallery is My pick for best pizza restaurant anywhere .,pizza,positive
"They pray to their Food Gods to make them into a good pizza like VT ""s"" .",pizza,negative
"However , looking at the table next to ours , we both sort of wished we had ordered pizza , which looked PERRRRRRRRRFECT .",pizza,positive
"By far , the best pizza in Manhattan .",pizza,positive
Great pizza for lunch place .,pizza,positive
But the pizza is way to expensive .,pizza,negative
"I come from a family of pizzeria owners , and I ""m"" almost ashamed to say that the pizza in Fornino ""s"" blows my families receipies away .",pizza,positive
I am reluctant to write because I would not want my jem of a pizza place to become overcrowded .,pizza,positive
"It ""s"" just O.K. pizza .",pizza,neutral
The pizza is overpriced and soggy .,pizza,negative
The pizza was really good .,pizza,positive
"not only does make the best pizza in NY , maybe anywhere .",pizza,positive
"Our son loves pizza and we have a certified Neapolitan pizzaria in our home city -LRB- Seattle -RRB- , we liked this nearly as much - and the differences were more about personal preference than any reflection on either restaurant .",pizza,positive
I have eaten a lot of pizza here .,pizza,neutral
"When I saw that their website had a link to da Ciro in Napoli , I knew there was going to be good pizza !",pizza,positive
The pizza was great .,pizza,positive
Went to Ottimo and was expecting outstanding pizza -LRB- as I love La Pizza Fresca -RRB- .,pizza,neutral
"After dealing with subpar pizza all over the Kensington neighborhood - I ""ve"" found little toninos .",pizza,negative
They make the best pizza in New Jersey .,pizza,positive
This place has the best pizza .,pizza,positive
My friends and I stop here for pizza before hitting the Kips Bay movie theater .,pizza,neutral
We always enjoy the pizza .,pizza,positive
"It took 100 years for Parisi to get around to making pizza -LRB- at least I do ""nt"" think they ever made it before this year -RRB- ... but it was worth the wait .",pizza,positive
"It ""s"" a basic pizza joint , not much to look at , but the pizza is what I go for .",pizza,positive
"Been to the one in Brooklyn for over 25 years , now I dont have to go over the bridge for the best pizza ... Hanx",pizza,positive
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded .,atmosphere,positive
"Eating in , the atmosphere saves it , but at your desk , it ""s"" a very disappointing experience .",atmosphere,positive
All the NYU students love this place so it makes for a fun young atmosphere .,atmosphere,positive
The atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon .,atmosphere,positive
The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can .,atmosphere,negative
The atmosphere is great !!!,atmosphere,positive
"I did ""nt"" complain , I liked the atmosphere so much .",atmosphere,positive
"And forget what you read under me , the atmosphere is ""nt"" that bad either .",atmosphere,neutral
LOVE the atmosphere - felt like I was in Paris .,atmosphere,positive
I would highly recommend this place to anyone looking for a casual atmosphere that whisks you away to the left bank of the river Seine .,atmosphere,positive
"But the best part about LS is the late night atmosphere , delightfully free of the BTs .",atmosphere,positive
The atmosphere is much better than Sripraphai -LRB- more modern and sleek -RRB- .,atmosphere,positive
"The atmosphere is nothing special , but it feels like a Sushi establishment in Tokyo .",atmosphere,neutral
"they really provide a relaxing , laid-back atmosphere .",atmosphere,positive
"The atmosphere is warm , comfortable , artsy and sexy .",atmosphere,positive
"the atmosphere is very nice , and a welcome escape from the rest of the SI mall .",atmosphere,positive
Cool atmosphere but such a let down .,atmosphere,positive
"Hip boutiques and bars on Ludlow add to the artsy , laid-back atmosphere at this Israeli-style takeout and eat-in burger joint .",atmosphere,positive
"The atmosphere takes you to that place , the place many dream of .",atmosphere,positive
All my co-workers were amazed at how small the dish was .,dish,negative
This dish is my favorite and I always get it when I go there and never get tired of it .,dish,positive
Usually 3 vs. 4 items per dish .,dish,neutral
"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants , he replied this is not Mcdonald ""s"" , every place makes things differently While it is understandable that every place is indeed different , there was not a need to be uncourteous to customers and downright rude .",dish,neutral
I had to ask her three times before she finally came back with the dish Ive requested .,dish,neutral
"We ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat .",grilled branzino,negative
Le Pere Pinard has a $ 15 pre-theater menu that is outstanding .,pre-theater menu,positive
The strong scents coming from the left and right of me negatively affected my taste buds .,scents,negative
We had the lobster sandwich and it was FANTASTIC .,lobster sandwich,positive
"Had we been stalling I could understand where they were coming from , but we had been there less than an hour and they had ""nt"" even brought us a check yet !",check,negative
Deep Fried Skewers are good and still rare to find in NYC .,Deep Fried Skewers,positive
Their tuna tartar appetizer is to die for .,tuna tartar appetizer,positive
I love Indian food and consider myself to be quite an expert on it .,Indian food,positive
I can not imagine better Indian food in all of the city .,Indian food,positive
"I do ""nt"" like Indian food too much and this was delicious , however you want to factor that into the equation .",Indian food,positive
"I know real Indian food and this was ""nt"" it .",Indian food,negative
Best Indian food I have ever eaten .,Indian food,positive
"This place has the best Indian food in New York , hands down .",Indian food,positive
"For someone who used to hate Indian food , Baluchi ""s"" has changed my mid .",Indian food,positive
Some baby pizzas get their wish .,baby pizzas,neutral
VT is what baby pizzas hope to be when they grow up .,baby pizzas,neutral
Overall A oh ya even though there is waiting it is deff worth it,waiting,negative
There are other people waiting !,waiting,negative
The lava cake dessert was incredible and I recommend it .,lava cake dessert,positive
good selection of wines ranging from affordable to high end .,selection of wines,positive
"Nice restaurant overall , with classic upscale Italian decor .",Italian decor,positive
The entire dining experience was wonderful !,dining experience,positive
Made my dining experience uncomfortable .,dining experience,negative
"This was the worst dining experience I ""ve"" ever had .",dining experience,negative
We were wondering why they were there to make our dining experience miserable ?,dining experience,negative
"It was such a fantastic dining experience , that I returned again the same week .",dining experience,positive
Really Lovely dining experience in the midst of buzzing midtown area .,dining experience,positive
"Order the panang duck , it ""s"" fantastic .",panang duck,positive
"Food is usually very good , though ocasionally I wondered about freshmess of raw vegatables in side orders .",raw vegatables,negative
"Other than the crappy service from two individuals , it ""s"" great .",service,negative
"But who says Murray ""s"" is anything about service .",service,neutral
Okay service .,service,neutral
The service is awful .,service,negative
"The service is ok , some of the people did ""nt"" get what they asked for .",service,neutral
Quick and friendly service .,service,positive
Ive been here a bunch of times now and the service is always outstanding .,service,positive
The service was attentive .,service,positive
He offers subpar service and has no personality .,service,negative
"The table service could have been a little more attentive but as someone who also works in the service industry , I understood they were busy .",service,neutral
"Drawbacks : service is slow and they do ""nt"" toast !",service,negative
"Yet paired with such rude service , would never recommend for anyone interested in carrying any kind of conversation while there .",service,negative
I recieved prompt service with a smile .,service,positive
"A very inviting restaurant , with friendly service .",service,positive
"The service , however , was a bright flower in a garden .",service,positive
She gets 10 for her excellent service and advice .,service,positive
"If presentation and service is your thing , then this magic show works .",service,positive
"Good , fast service .",service,positive
"I was in love with Pongsri on 48th , but compared to Suan it is slow in service and overpriced .",service,negative
The service was ok .,service,neutral
There is no excuse for such lousy service !,service,negative
"When we sat , we got great and fast service .",service,positive
service was efficient courteous .,service,positive
"The service was a bit slow , but they were very friendly .",service,negative
Always great service !,service,positive
An excellent service,service,positive
"Both times I was extremely dissappointed by the service , which was boarderline rude .",service,negative
"The service was attentive , yet discreet .",service,positive
You have to increase the service a lot .,service,negative
"Found service above average , but that could be because we were 13 of us .",service,positive
"Wo ""nt"" or Ca ""nt"" is not in the service directory .",service,positive
Fast service .,service,positive
The service is ok but could be better .,service,negative
The service was excellent - friendly and attentive .,service,positive
"The service was superb , they treat you like family .",service,positive
The service is not consistently excellent -- just decent .,service,neutral
The service is fantastic .,service,positive
We went around 9:30 on a Friday and it had died down a bit by then so the service was great !,service,positive
Turned out there was full service upstairs and sat down .,service,positive
The service was the only thing good about this restaurant .,service,positive
"Yeah , sometimes the service can be slow .",service,negative
but the service was a bit slow .,service,negative
The service is good and the resturant is clean .,service,positive
The service was great as well .,service,positive
"Volare virgins or weekly regulars , everyone gets treated the same and you ca ""nt"" ask for more than that when the service is this friendly .",service,positive
"however , it ""s"" the service that leaves a bad taste in my mouth .",service,negative
"The service was typical short-order , dinner type .",service,neutral
The service we experienced was friendly and good .,service,positive
Tiny restaurant with very fast service .,service,positive
"Not to be overlooked , the service is excellent .",service,positive
The service is excellent and always informative without an air .,service,positive
"Finally , I got sick of the bad service , obnoxious smirks , and snotty back talk .",service,negative
"However , the service is absolutely horrible .",service,negative
"BTW , the service is very good .",service,positive
The service was outstanding .,service,positive
The service is pretty good .,service,positive
"They have very quick service which is great when you do ""nt"" have much time .",service,positive
the service is prompt friendly .,service,positive
How can hope to stay in business with service like this ?,service,negative
"The service was great , and they have a whole great deal for birthdays .",service,positive
The service was dreadfully slow -LRB- the place was only half full -RRB- and a smile would have been nice ...,service,negative
The service was on point - what else you would expect from a Ritz ?,service,positive
The service was very attentive and very generous .,service,positive
"Slow service , but when you ""re"" hanging around with groups of 10 or 20 , who really notices ?",service,negative
Ambiance - relaxed and stylish .,Ambiance,positive
I look forward to eating here again,eating,positive
"I ""ve"" been coming here as a child and always come back for the taste .",taste,positive
"As I made the title , it ""s"" an affordable restaurant for great taste .",taste,positive
"DO not try unless you ""re"" just going there to hang out like the rest of the hipsters who apparently have no sense of taste .",taste,negative
I was pleasently surprised at the taste .,taste,positive
The worst though was the taste .,taste,negative
"For great chinese food nearby , you have Wu Liang Ye and Grand Sichuan just a block away .",chinese food,positive
We actually left hungry and went across the street to Wo Hop at 15 Mott street for some good chinese food .,chinese food,positive
"Frankly , the chinese food here is something I can make better at home .",chinese food,negative
Hats off to the chef .,chef,positive
The atmosphere was crowded but it was a great bistro-type vibe .,bistro-type vibe,positive
"Last time I went here , the waitress did ""nt"" come back after taking our order .",waitress,negative
"The waitress , seems to be more concerned of looking good than actually waitressing .",waitress,negative
"Our waitress was sweet and accomodating , not overbearing .",waitress,positive
We had the most wonderful waitress .,waitress,positive
"Again , the waitress was awesome .",waitress,positive
Every waitress and customer who passed by me bumped into my chair .,waitress,neutral
"When she complained , the waitress said , Sorry .",waitress,neutral
Try the tandoori salmon !,tandoori salmon,positive
I love the atmorphere @ peep !,atmorphere,positive
The other night we had the $ 30 three course meal and everything was delicious - if I could of licked the plate clean I would of .,three course meal,positive
"Even after getting pushed out by the no-class Famous Ray ""s"" , Sal has risen again to carry on his father ""s"" uncle ""s"" legacies with a smile , true love for his community , and let ""s"" not forget the Outstanding Pizza !",Pizza,positive
Pizza here is consistently good .,Pizza,positive
Pizza was a little soggy .,Pizza,negative
"We had crawfish boiled and despite making a mess , it was a ton of fun and quite tasty as well .",crawfish boiled,positive
I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion .,reservation,neutral
I recommend getting a reservation even though we saw people seated without one .,reservation,neutral
"I went to Del Frisco ""s"" Friday night with my boyfriend for an 8:00 reservation .",reservation,neutral
"Why make a reservation if you are ""nt"" going to keep it ?",reservation,negative
"It is so easy to get a reservation at a top place in NYC with a week ""s"" notice .",reservation,positive
"They are still living in the dark ages and do not have an answering machine , so if you want to make a reservation you are limited .",reservation,negative
We arrived on time for our reservation and seated promptly.The,reservation,positive
"they were able to squeeze me in at 6 after i called the night before my anniversary for a friday night reservation and told me they ""d"" treat us well for the occasion .",reservation,neutral
"during busy hrs , i recommend that you make a reservation .",reservation,neutral
"So I ""ve"" never actually been to M proper , but I ""ve"" had it delivered a few times .",delivered,neutral
All conveniently delivered right to the door .,delivered,positive
"Among all of the new 5th avenue restaurants , this offers by far one of the best values for your money .",values for your money,positive
"Frankly , when you compare what you can have here for lunch , versus McDs or so many other sandwich shops in the city , there is no comparison .",lunch,positive
I recently went to this restaurant with some co-workers for lunch and had an amazing time .,lunch,neutral
"I ""ve"" been here 3 times for lunch and it is one of my favorites in the city .",lunch,neutral
just got back from lunch at Tamarind and it was excellent .,lunch,positive
Its a great place for a casual date or to entertain clients for lunch .,lunch,neutral
On a hot day it was fabulous to stop in and enjoy lunch .,lunch,positive
The food was very expensive -LRB- we spent $ 160 for lunch for two -RRB- but extremely tasty .,lunch,negative
Went for a late weekday lunch .,lunch,neutral
"It ""s"" great to go for a quick lunch either alone or with a friend .",lunch,positive
I went there for lunch and it was not as good as I expected from the reviews I read .,lunch,neutral
I have to say that if this what makes it easier to get a saet a lunch - I dont mind .,lunch,neutral
"Unfortunately , we chose this spot for lunch as we had done a lot of walking and ended up at the South St Seaport .",lunch,neutral
My daughter and I left feeling satisfied -LRB- not stuffed -RRB- and it felt good to know we had a healthy lunch .,lunch,positive
Was her Monday for lunch - was working on a film in the area - and found this rare jewel .,lunch,neutral
The hostess is rude to the point of being offensive .,hostess,negative
Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes .,hostess,positive
