text,aspect,sentiment
i got this camera about a month ago and i can ' t put it down .,camera,positive
the camera 's a work of art / science -- that 's understood .,camera,positive
it really is an awesome camera that is hard to beat for general - to moderate snapping .,camera,positive
overall it is the best camera on the market .,camera,positive
"however , for a $ 600 - $ 800 budget , i think this camera is an excellent choice .",camera,positive
i love this camera .,camera,positive
this is a wonderful camera .,camera,positive
this is the perfect camera for a photo hobbiest who wants to have easy point and shoot ability as well .,camera,positive
"this camera is ideal for people who want more power , but do n't want to spend 1000s dollars on a camera .",camera,positive
everything else about the camera is great .,camera,positive
"best camera ever . from the image quality , color , function , i can say almost everything .",camera,positive
"if you have to buy a camera on a buget , this has got to be the one .",camera,positive
i ' ve now had the camera for two months and i ' m even more pleased with it .,camera,positive
but this camera is great !,camera,positive
i have owned this camera for a short time and would n't give it up for anything .,camera,positive
"in a word , "" awesome "" is how i would describe this camera .",camera,positive
this camera is perfect for an enthusiastic amateur photographer .,camera,positive
i am extremely satisfied with this camera .,camera,positive
i have only had this camera for one full day and i have to say that it is wonderful .,camera,positive
"all and all , i am extremely pleased with this camera .",camera,positive
"great camera , great investment !",camera,positive
this is my first digital camera and i could n't be happier .,camera,positive
rather heavy for point and shoot but a great camera for semi pros .,camera,positive
great camera .,camera,positive
i am quite happy with the camera .,camera,positive
really happy with this little camera .,camera,positive
this little camera has created a marriage between myself and nikon . never knew i could love a digital camera so much .,camera,positive
"overall the nikon 4300 is a very dependable , robust , and useful little camera .",camera,positive
this camera is closest to perfect than any other digicam that is 4 - 5 megapixel .,camera,positive
i found that low light situations combined with any sort of action left this camera in the dust .,camera,negative
because this camera is beautiful .,camera,positive
"this is my first digital camera , and what a ' toy ' it is !",camera,positive
the camera was a marvel .,camera,positive
it seems to be a little slow when identifying a new disc that 's inserted - maybe 10 seconds of wait .,identifying,negative
the headphone jack seems to be a major problem .,"headphone, jack",negative
"one other issue is that the headphone jack is unique to nokia , so standard headphones will not work .","headphone, jack",negative
i ' ve had this thing just over a month and the headphone jack has already come loose .,"headphone, jack",negative
"i ' ve had this thing for less than a month , treated it quite well , never dropped it , and the headphone jack is all screwed up .","headphone, jack",negative
enough people have reported that their headphone jack does n't work after a month of using the device to believe that creative has some inbuilt manufacturing or quality control problem .,"headphone, jack",negative
"i did n't abuse it , i charged it every day , but the headphone jack just sort of fizzled out .","headphone, jack",negative
"so , i ' ve had it for a month , and the headphone jack went out .","headphone, jack",negative
"typically , the problem is the headphone jack -- it was for me and many others .","headphone, jack",negative
i would not be inclined to purchase an apex product again .,"apex, product",negative
"because of it 's hidden features ( no macrovision , non - regional ) i keep this baby around to watch non - american region dvd 's .","hidden, features",positive
"you 're going to need to buy new headphones , the stock ones suck",headphones,negative
as mentioned in other reviews the headphones are useless and need to be replaced right away !,headphones,negative
"headphones suck , i would invest in some cool ones since it has the eax feature .",headphones,negative
"the headphones are n't the best , but you can really expect much out of the small headphones you insert in the ear cavity .",headphones,negative
crappy headphones .,headphones,negative
"compared to other leading hdd mp3 players , the value per gb is the tops .",value,positive
"because other people that complain about this player are talking bull , this player is awesome , it just ASPECT#2s fast , which is horrible .",player,positive
i just bought this player today and i already love it .,player,positive
"otherwise , this player is awesome !",player,positive
do n't buy this player .,player,negative
"connect the player to your computer ( via usb ) , open up mediasource , and you can listen to your stored mp3s as they stream directly from the xtra !",player,positive
this thing seriously is a good player though .,player,positive
i have no problem using the player itself and i feel it is a very good player .,player,positive
this player is an overall disappointment with a couple of big flaws that potential buyers should be wary of ; and all readers need to know about a third party software company that resolves virtually all of the creative mediasource file transfer issues .,player,negative
"so far , we ' ve only used this player a few times to watch movies and it has worked fine .",player,positive
i took it to my father 's house to play a tom jones concert dvd and he loved the player so much i gave it to him .,player,positive
i love this player .,player,positive
i just purchased this player and i have to say that i love it .,player,positive
i took perfect care of this player and still it died in the week after the lousy 90 day warranty ended .,player,negative
"unfortunately , after loading 280 + songs , all i get now is "" player either not connected or busy . """,player,negative
"i ' ve had it for about 2 weeks and it 's the best player i ' ve seen , and used , ever .",player,positive
"this player has worked flawlessly for me and at this price , you can ' t go wrong .",player,positive
"i thought it was just the player , but then i started checking the discs to find that the apex 2600 is actually ruining my media .",player,negative
"overall , this player is awesome and i definately recommend it .",player,positive
i love this player and am extremely happy with my decision .,player,positive
have had the player since xmass and love it !,player,positive
"when you turn on your player , the player turns on really fast , and the music continues to play , as you left it when you were turning it off .",player,positive
"not only is it more affordable , but its a better player for windows , which is what i have .",player,positive
the player itself has all sorts of problems .,player,negative
i love this player and would probably go with creative labs again .,player,positive
"overall , i ' m giving this 5 stars as i ' ve seen nothing of the problems people have repeatedly cried havoc over , but as i ' ve only had the player for a while i leave room for doubt if the headphone jack , hissing , or scroll wheel problems show up with me too .",player,positive
this player is not worth any price and i recommend that you do n't purchase it .,player,negative
"i have n't messed with the firmware at all , the player worked perfect for me right out of the box .",player,positive
"i have had this player for 3 months and have been able to see a total of 6 dvd 's , after the frustration and aggrivation of getting the player to do it 's job .",player,negative
i really do recommend this to anyone in need of a new player .,player,positive
"when the player was working it was great , but .",player,negative
"anyway , this player is a great deal and i really love it .",player,positive
i ' m giving this player cautious recommendation .,player,positive
i bought the player this week and i like it by far .,player,positive
this player is an ideal purchase .,player,positive
the player works well with my sony srs - a 202 powered speakers .,player,positive
"honestly , i love this player .",player,positive
"the player has its minor glitches like for example when i turn it on , 60 percent of the time , it sais , shutting down , which means i have to turn off , and turn it on again , which is not to my likings .",player,negative
"a lot of people complain about the creative software , but i actually find creative mediasource organizer to have some strengths over itunes .","mediasource, organizer",positive
"my one issue with the mediasource software is that , despite pulling id3 tag data from the cdds service , the ripping process fails to populate the "" year "" field .","mediasource, software",negative
i found using the supplied mediasource software very easy .,"mediasource, software",positive
"as i mentioned before , the creative mediasource software is actually really robust despite what others have said , though notmad may still work better .","mediasource, software",positive
"great ASPECT#1s , ASPECT#2s and white balance .","white, balance",positive
"sound : exceptional , though i can ' t really compare it to the ipod .",sound,positive
but the sound is very good ( and loud ) and works well on my portable speakers .,sound,positive
"on the positive side , the sound of the player is pretty good , once you have everything configured .",sound,positive
excellent sound - i found the music reproduced faithfully through the jukebox .,sound,positive
the sound from the player is ok .,sound,positive
- best in class sound,sound,positive
the sound is excellent as one would suspect from a creative product .,sound,positive
"the sound is excellent , but a tip : get a real pair of headphones .",sound,positive
"the sound is awesome , but if u put it too loud , depends on yoursound quality , the sound might crack .",sound,positive
"it has a 3x optical zoom , which is average for these cameras .","3x, optical, zoom",negative
"either way , can ' t go wrong with this price .",price,positive
for the price it is a well spent investment !,price,positive
and amazon.com has it for such a great price -- how can you go wrong ?,price,positive
"overall , a good buy for the price .",price,positive
this is the third apex product i ' ve bought and they continue to impress for the price .,price,positive
"lastly , the price is fantastic :",price,positive
"when it came down to it , the price on this player is hard to beat .",price,positive
10 great price for all the features .,price,positive
mixed bag i guess but the price was right .,price,positive
"for some this might be a problem , but for the price of a 30 gig ipod , you can get a 60 gb nomad , the ipod simply pales in comparison .",price,positive
- great value 40 gb vs 10 gb ipod for the price,price,positive
great price .,price,positive
the price compared to the ipod is great .,price,positive
door broke after a month .,door,negative
the door would not close .,door,negative
"all reviews i ' ve seen seem to indicate that the creative mp3 jukeboxes have the best sound quality of these 2nd generation jukeboxed ( ipod , archos , dell , samsung ) .","sound, quality",positive
the sound quality is very good .,"sound, quality",positive
"however , the main problem that i think is the with the sound quality .","sound, quality",negative
first of all the player 's sound quality is superior to the ipod .,"sound, quality",positive
the sound quality with jazz and pop music is equally superior .,"sound, quality",positive
+ / - sound quality was good but it was going to take some tweakings with settings to try to make it great .,"sound, quality",positive
"sound quality is amazing . i was expecting worse , but its really good ( especially if your files have good sound quality ) .","sound, quality",positive
- excellent sound quality,"sound, quality",positive
my only significant complaint is sound quality .,"sound, quality",negative
the sound quality is also nice ... after i hooked up my sony headphones instead of those factory earbuds it comes with .,"sound, quality",positive
"sound quality on this is amazing , as with all creative products .","sound, quality",positive
nokias have always had good sound quality and this is no exception .,"sound, quality",positive
"the sound quality is excellent , except , maybe a * tad * too quiet at times when there are quieter talkers on the other end of the line .","sound, quality",positive
"- sound quality : excellent , everything you would expect from this company .","sound, quality",positive
"i was unable achieve a sound quality on par with my simple portable cd player with "" bass boost . ""","sound, quality",negative
the panel seems like it will come off very easily as other people have said .,panel,negative
"the music plays awesome , never skips , even if u run for a bit , so you can listen to music without interruption .",music,positive
"i love the continuous shot mode , which allows you to take up to 16 pix in rapid succession -- great for action shots .","continuous, shot, mode",positive
"it 's low profile , space saving design looks nice .",design,positive
this camera has a major design flaw .,design,negative
"- light , compact design",design,positive
loved the slim design .,design,positive
it has a classic design yet looks hip .,design,positive
one also exhibited extremely slow speed when going to the menu .,speed,negative
the volume level of the phone is not all that good .,"volume, level",negative
i have excellent hearing but the volume level on this phone is especially quiet .,"volume, level",negative
+ the memory ( 40 gb ) is staggering .,memory,positive
"the memory will hold an amazing amount of songs , my entire collection of cd 's will all fit on this great little tiny piece of digital fun .",memory,positive
i have stored around 60 cd 's ( at 160kbps ) on this and have barely touched the available memory .,memory,positive
the software sucks .,software,negative
creative software stinks .,software,negative
it was no problem for me to use their software .,software,positive
i uploaded the drivers and new software in 15 minutes - no crashes or problems .,software,positive
"many people have written about the software being its one downfall , personally i have n't had a single problem with the software , i ' m running windows me .",software,positive
the software failed repeatedly .,software,negative
the main problem with the nomad jukebox zen xtra 30 gb is the software .,software,negative
the software installed flawlessly and without any problems on my windows 2k machine .,software,positive
"also , i can ' t understand why the software does not ignore "" the "" when it lists the cds in alphabetical order .",software,negative
"the software was great , as long as you have an adminstrative user account ( windows xp ) .",software,positive
"although the supplied software can be annoying at times , on whole it is excellent .",software,positive
"software definitely sucks , hangs up my notebook about half the time , but i do n't mind buying notmad .",software,negative
the adobe camera raw plug - in shows once again that hardware is miles ahead of software .,software,negative
what really made this a mediocre mp3 player for me was the software .,software,negative
"the software , which comes with player is not good at all .",software,negative
software - the software is crap .,software,negative
on my main computer the software did not work right .,software,negative
i ' ve had no problems with the software .,software,positive
"i do nt know what other people are saying , but the software is awesome .",software,positive
the software is great .,software,positive
"now there is one more complaint i have about the g3 and that is the software that comes with it for processing raw images ( i only shoot in raw image mode and the first thing i did was replace the 32 mbyte cf with a 512 mbyte cf , which gives me 130 raw images , as opposed to 7 !",software,negative
i thought the software was decent enough - it was n't complicated to learn at all .,software,positive
the software has n't been a hassle for me at all .,software,positive
the software you get with this camera is perfect .,software,positive
so far the software for the pc works easily .,software,positive
"third , creative software allows you to keep two windows open to look at both the content on the player and the computer .",software,positive
"so yes , as with all software bundled with creative products , it was useless and ugly .",software,negative
* software is absolutely terrible :,software,negative
"however , the creative software is not real intuitive .",software,negative
but the major problem i had was with the software .,software,negative
"there are a couple things i did nt like though but nothing serious : a little larger than other mp3s but still light , the software takes some time to get used to ( maybe 10 - 15 mins ) , and this thing would definitely be destroyed with one fall .",software,negative
- included creative software is pretty poor .,software,negative
"people also have complained about the case not having a window , but that 's not really a big deal to me either -- the case is sturdy and offers very good protection .",case,positive
"i forgot , the case does n't fit .",case,negative
"the free ( i did nt know they still did that ) carrying case is really protective , and to me its the only accessory you need ( except good headphones ) .",case,positive
"and the case , how did this ever make it out of quality control .",case,negative
3 ) the case hides the display - you have to open it to see what you are doing .,case,negative
"also , the carrying case that came with mine covers up the display , so even though the side controls are reachable , i have to open it up to see the display .",case,negative
"my case does nt close ... maybe mine was just faulty , but the case is nt that great .",case,negative
* protective case completely useless as is since it obscures display window .,case,negative
e ) the case is too small -- it took me like a half hour just to get this monstrosity to fit in its cage,case,negative
6 ) the case occludes the display screen when it is closed .,case,negative
but it comes with a tank of a case and if you cut a piece out where the screen is you can always keep it in the case and still access everything .,case,positive
so much packed in a small case and very affordable !,case,positive
"the case is strong and stylish , but unfortunately lacks a window ( now a big deal ) .",case,negative
"as it stands now , the case is pretty useless unless you 're packing the player up for travel , or if you load up all your songs beforehand .",case,negative
it comes with a good case that fits it snuggly .,case,positive
"at the very least , a sturdier more protective carrying case would be nice .",case,negative
i ' m very pleased with my zx so here 's a quick review .,zx,positive
"you can create ASPECT#1s , drag & drop songs and playlists to your player , and rip directly from cd to your player .",rip,positive
other than that this thing is great ...,thing,positive
"this thing is great , i like to use it to pick up tough stains on my countertop and also to listen to my old 8-track records .",thing,positive
the size is small ( just a little bit bigger than an i - pod . ),size,positive
it 's size also makes it ideal for travel .,size,positive
size - extremely small and convenient will fit in your pocket and not bother you .,size,positive
size - bigger than the ipod,size,negative
"the small size is perfect for my little hands , but may perhaps be uncomfortable or awkward for a bigger person .",size,positive
small size .,size,positive
i would have liked to have given it 4 1/2 stars docking that 1/2 star only for the size .,size,negative
"after using it , i found the size to be perfect for carrying in a pocket .",size,positive
"this phone won me over , and a big seller was the size ; it fits nicely into any pocket without falling out .",size,positive
this did n't bother me too much because it 's still a decent size .,size,positive
"you can also slow a song down & speed it up , which is cool too .",song,positive
apex sucks !,apex,negative
will never purchase apex again .,apex,negative
most of them are already switched to apex and they are happy .,apex,positive
imagine my shock - and absolute instant disdain for any products made by apex .,apex,negative
"i read in consumer reports that apex is a reliable brand , but with my experience and reading the other reviews , i think i will be doing a little more homework before considering another apex product .",apex,negative
the apex 2600 has been a steady performer for me .,apex,positive
it makes up for this by being extremely easy to use with well ASPECT#2s that can be learned quickly .,use,positive
3 it is very compact but the ASPECT#1s are so well designed that they 're still easy to use .,use,positive
2 it is easy enough for my grandmother to use .,use,positive
its easy to use and the sheer fun of being able to use an array of nikon accessories like the telephoto and wide - angle lenses is the proverbial icing on the cake .,use,positive
- the unit is easy to use and intuitive .,use,positive
"i have been ripping songs into it for the past few weeks , and the ease of use is wonderful .",use,positive
"the camera is very easy to use , in fact on a recent trip this past week i was asked to take a picture of a vacationing elderly group .",use,positive
but for what i do use it is perfect .,use,positive
"i have not played with all the features yet , but the camera is easy to use once you get used to it .",use,positive
easy to use : a lot of reviews has mentioned about this,use,positive
the best ASPECT#1 / ASPECT#2 available and fairly easy to use .,use,positive
i am impressed with how easy this camera is to use .,use,positive
very simple to use .,use,positive
all in all suprisingly easy to use .,use,positive
the only drawback is the viewfinder is slightly blocked by the lens .,viewfinder,negative
when you look through the viewfinder ( not the lcd ) the bottom left corner of the picture ( about 15 % ) is blocked by the lens .,viewfinder,negative
* lens visible in optical viewfinder .,viewfinder,negative
"the lens is visible in the viewfinder when the lens is set to the wide angle , but since i use the lcd most of the time , this is not really much of a bother to me .",viewfinder,negative
about the only legitimate criticsm from the online reviews is that fact that the lens really does obstruct the viewfinder .,viewfinder,negative
4 ) the viewfinder is borderuer lcd scoying .,viewfinder,negative
"one little minor flaw with this camera is that the lens is visible in the viewfinder , but does not detract from the image at all .",viewfinder,negative
what the g3 raw image software gives you is a fantasy world designed to please the uncritical .,"g3, raw, image, software",negative
the headphone jack failure seems to occur just about when the warrranty period is to expire .,"headphone, jack, failure",negative
"and the remote is cheap and cheasy - not sure how long it 'll last , but for 50 bucks what the heck !",remote,negative
"i hope it 's because it 's new and they are not out yet , but being without a remote is hard .",remote,negative
i had to return the remote on this product because it appeared to be defective .,remote,negative
"2 ) the remote works , but then it does not work , and you are left standing there thinking you are doing something wrong .",remote,negative
"my other gripe is the incredibly crappy remote , which is worse than other , cheaper apex units .",remote,negative
video output stopped workin .,"video, output",negative
"well , within 45 days the video output quit working ( both rca & optic ) .","video, output",negative
"the menu options are uncreative , as you can ' t see a full screen of menu items to pick from ; you have to scroll up and down to find what you 're looking for ( yes , this is minor , but not when you 're trying to keep your eye on the road ! ) .","menu, options",negative
"the menu options appear one at a time , taking up the whole screen , and one has to scroll down one by one , or have memorized where they are in the menu order , to select them by using the number keypad .","menu, options",negative
"this is my second creative labs mp3 player , and it is definitely a fine product .","mp3, player",positive
so once i worked out the problem with the software this mp3 player is worth the money it cost .,"mp3, player",positive
i have no complaints with this mp3 player .,"mp3, player",positive
all in all though i ' m very happy with my new mp3 player .,"mp3, player",positive
"i was worried that 4 megapixel photos would download more slowly , but there 's no difference in working with the files .",download,positive
ASPECT#1s kind of stink and you ca nt download them you have to get the link cable to get additional games .,download,negative
"but , i would definately recommend this phone .",phone,positive
"the phone is small , light , and very attractive .",phone,positive
i bought this phone for my trip to south africa and it worked almost perfectly .,phone,positive
great phone .. .,phone,positive
this means that there is a good chance that this phone will not break easily like typical american phones .,phone,positive
i purchased this phone for just 50 $ and there is no end to what i can do with it .,phone,positive
i bought this slick phone and i am very happy with it .,phone,positive
"i ' m not one who uses web browsing , so this phone easily met and surpassed my needs .",phone,positive
it is a perfect phone in such a small and appealing package .,phone,positive
overall this is the best phone i have ever owned .,phone,positive
i have had no problems with the phone .,phone,positive
i am enjoying my phone a lot ....,phone,positive
and really this is the best phone one could have .,phone,positive
"great phone , i 'd buy another .",phone,positive
"the phone also sports an image gallery ( with option camera attachment ) , a calendar / organizer , alarm clock with snooze , fm radio ( way cool , even if it is just through an ear - peice ) , games , java applications and gprs high - speed internet connection .",phone,positive
overall an excellent phone .,phone,positive
this is the best phone i have seen .,phone,positive
"there is much which has been said in other reviews about the features of this phone , it is a great phone , mine worked without any problems right out of the box .",phone,positive
"the nokia 6610 is a relatively new phone , and what a great phone it is .",phone,positive
"i do like this phone overall ( would give it a 3.5 ) , but unforutnately , i am returning it .",phone,positive
this phone is a winner ...,phone,positive
"nokia makes a great phone , that 's clear .",phone,positive
i just purchased this phone and i think this is the coolest phone i ever had .,phone,positive
another benefit of this phone is that it is truly an international phone ; the 6610 is sold in almost everywhere in the world .,phone,positive
"i can recommend this phone to anyone , anytime .",phone,positive
"excellent phone , the phone ASPECT#2s much better than what u see in the pictures .",phone,positive
"1 month , no problems , great phone i ' m very pleased with my 6610 phone .",phone,positive
nice little phone ... light compact . .,phone,positive
overall this is a slightly better than average phone .,phone,positive
overall this has been my favorite phone that i have owned .,phone,positive
i have not had any distortion problems with this phone and am more pleased with this phone than any i ' ve used before .,phone,positive
i highly recommend this phone to anyone .,phone,positive
this phone is highly recommended otherwise .,phone,positive
this phone is great as a whole and is not like others with one or two good qualities .,phone,positive
"overall , i highly recommend this phone .",phone,positive
"anything this phone does , it does perfectly .",phone,positive
"other than that , this is a perfect phone for those of us with no patience for flips .",phone,positive
"for a specific location , i still think its a great phone .",phone,positive
"this phone has many other features , ir , ; just to name one , the features above i view as the most beneficial .",phone,positive
"this is probably your best bet if you are looking for a phone in this price range , or like me , do not have the patience to deal with annoying flip phones .",phone,positive
the person on the other end of the call can hear you perfectly .,hear,positive
"this camera was affordable , very easy to learn , and produces spectacular ASPECT#2s .",learn,positive
"while , there are flaws with the machine , the xtra gets five stars because of its affordability .",affordability,positive
"i spent hours setting up the stations ( accepts about 13 - 14 , i believe ) , though the reception is unpredictable .",reception,negative
anywhere i went in south africa this phone received full bar reception .,reception,positive
"i assumed they had exceptional service , but their reception in my area ( los angeles ) is horrendous .",reception,negative
"i ' m staying with sprint , and though i fear that their csr is n't nearly as good as t - mobile 's , the clarity of their reception is exceptional .",reception,positive
- well - backlit keypad,keypad,positive
i am really impressed by this dvd player .,"dvd, player",positive
this is the best dvd player i ' ve purchased .,"dvd, player",positive
"granted , i have only used this dvd player for about 2 hours setting it up for my mom for christmas , but that was long enough for me to find problems with this dvd player .","dvd, player",negative
it is embarassing getting phone calls from family members telling you that the dvd player you gave them less that 3 months ago is no longer working .,"dvd, player",negative
for the most part this is a good dvd player .,"dvd, player",positive
i have not even used my new dvd player and already i am disapointed !,"dvd, player",negative
the dvd player is fine .,"dvd, player",positive
"when i tried to install the second dvd player in my brothers house , that one didn "" t work either !","dvd, player",negative
i bought this apex 2600 dvd player for myself at christmas because it got good reviews as a good value for the money on a variety of different sites .,"dvd, player",positive
this is wonderful to have for your first dvd player .,"dvd, player",positive
"for the price , it 's a very nice dvd player .","dvd, player",positive
"but , dollar for dollar , this dvd player is probably the best out there .","dvd, player",positive
"i think , apex is the best dvd player you can get for the price .","dvd, player",positive
battery life is ok .,"battery, life",positive
"on the up - side , the phone has amazing battery life .","battery, life",positive
my biggest complaint is the battery life or lack there of .,"battery, life",negative
- very long - lasting battery life,"battery, life",positive
it also has unproven battery life .,"battery, life",negative
"2 . battery life is over 4.5 hours , compared to about 2.5 hours for the g2 or the 2 hours for most nikons .","battery, life",positive
battery life is good for a phone of this size .,"battery, life",positive
"it 's only slightly heavier than the ipod , and has a longer battery life .","battery, life",positive
8 battery life is excellent .,"battery, life",positive
"battery life is good , although i recommend two rechargebles , or a alkaline backup , for those emergency pics you have to have .","battery, life",positive
another point of note : the battery life is incredible !,"battery, life",positive
"battery life , the drawback to most digital cameras , to quote k. reeves .","battery, life",positive
"it has nt gone below the second notch ( i charge mine whenever i ' m at home and not using it ) , so the battery life seems fine ( so far ) .","battery, life",positive
"even the battery life is great - it advertises 14 hours , it 's actually a little less but still good .","battery, life",positive
the battery life on this phone is surreal .,"battery, life",positive
"however , the battery life is good enough you should n't be overly concerned with turning this phone off .","battery, life",positive
"the battery life is very good , i got about 90 minutes with the lcd turned on all the time , the first time around , and i have been using it with the lcd off every now and then , and have yet needed to recharge it .","battery, life",positive
6 ) excellent battery life - 14 hours beats ipod 's .,"battery, life",positive
"the battery life is ok , but can be somewhat short when working a lot with the monitor on .","battery, life",positive
"the one and most major thing that i was dissapointed with , in this player , is the battery life .","battery, life",negative
"battery life is very good , i use it every day and i have to charge it every 5 or 6 days or so .","battery, life",positive
2 the battery life seems to be on the short side but adequate for most situations .,"battery, life",negative
the battery life is amazing .,"battery, life",positive
the battery life of this camera is twice that of the nikon 5000 and is better than anything else i ' ve seen .,"battery, life",positive
"also , the nomad 's 14 hours of battery life versus 8 is handy .","battery, life",positive
"the 30 gb zen xtra rocks my socks , spills my beer , but does n't wash my car .","30, gb, zen, xtra",positive
the instructions that come with it do n't explain how to make things simple .,instructions,negative
"even after reading some of the instructions , it 's still hard to figure out .",instructions,negative
2 ) 4mp is about right for the target market of this camera ( semi - serious amateur photographer ),4mp,positive
"10 ) multiple play modes - tracks in order of album , shuffle , etc . , is standard on all jukebox players but worth noting that the zen xtra is not deficient in this matter .","play, modes",positive
they have a whole bunch of devices that all have the same - sounding name ( and they are long ) .,name,negative
but this is * not documented * in the zen manual - neither the hard copy nor the cd version .,"zen, manual",negative
1 . pictures wo n't transfer to pc directly from the camera using the included transfer cable .,"transfer, cable",negative
"update : the finish is more "" mirror "" than silver -- and i like it !",finish,positive
"i must have heard this about a dozen times over the span of 2 weeks , when t - zones never worked .","t, -, zones",negative
"also , their t - zones , although cheap ( $ 4.99 / mo . ) never works .","t, -, zones",negative
"fortunately , the g3 has a hot shoe that can take an external flash , and fortunately for me , i already owned a one of the highest ASPECT#1es that money can buy : the metz 60 ct-4 .",shoe,positive
"naturally i did quite a bit of review before purchasing ( i recomend www.nomadness.net ) , and price - wise zens are unbeatable .","price, -, wise, zens",positive
"i must have differing preferences than others here , as i prefer the supplied earbuds to the sony 's that i thought sounded good on other players .",earbuds,positive
"yeah i agree the earbuds are pretty crap , replace them .",earbuds,negative
but the earbuds suck !,earbuds,negative
"i thought i 'd have to buy a set of headphones to use with it , but the included earbuds work quite well .",earbuds,positive
the earbuds that come with it are n't that bad .,earbuds,positive
the included earbuds were uncomfortable .uncomfortable -1,earbuds,negative
the player 's mechanics are also flawed .,mechanics,negative
silverish color really adds a special touch .,"silverish, color",positive
"the g3 has a different type of battery charging system from the smaller canon cameras : the battery needs to be charged while in the camera , but the charging system also enables you to use the camera while plugged in without running down the battery .","battery, charging, system",positive
the sound level is also not as high as i would have expected .,"sound, level",negative
that 's a rare and valuable feature .,feature,positive
"this is a nice feature ( i.e. it 's early in the morning and you rather listen to "" easy listening "" rather than "" heavy metal "" - no problem .",feature,positive
also the feature to automatically put in the song information is n't always accurate .,feature,negative
"one highly beneficial feature of this phone ( at least to me ) is that it can be used anywhere in the world except a few countries that do not use gsm , a few in asia .",feature,positive
- no voice activated dialing ( what were they thinking,"voice, activated, dialing",negative
it also does n't have voice activated dialing . big minus ! !,"voice, activated, dialing",negative
"the mms technology is very well integrated with this phone , which you will enjoy .","mms, technology",positive
very bad quality .,quality,negative
the quality is superb .,quality,positive
"however , it has failed to deliver on quality .",quality,negative
"i know the saying is "" you get what you pay for "" but at this stage of game ASPECT#1s must have better quality than this - there is no excuse .",quality,negative
i have taken hundreds of photos with it and i continue to be amazed by their quality .,quality,positive
"feedback on creative 's product support is universally poor ; this is not limited to the zen , it applies to all the company 's products .","product, support",negative
depressing the scroll button ( for selecting ) is not always responsive .,"scroll, button",negative
"the scroll button seems ok , i have no problems with it .","scroll, button",positive
2 ) scroll button / switch,"scroll, button",negative
the scroll button is overly sensitive at times ; not sensitive enough at others .,"scroll, button",negative
"another irriation is that if you hold the scroll button down for too long , it keeps going past the song you may have wanted to stop on .","scroll, button",negative
* scroll button more cumbersome than on earlier models .,"scroll, button",negative
other tagging problems result ( i think ) from the nomad 's operating system .,"operating, system",negative
"had there been strange noises , or obvious defects , i would have accepted a replacement , but this is clearly from a defective and inferior operating system and i for one do not intend on waiting for patches .","operating, system",negative
3 ) user replaceable battery,battery,positive
the battery is alot better than most of the phones out there .,battery,positive
